OBJECTID,boro,bctcb2020,cenblock20
1,Manhattan,10002011000,3.6061E+14
2,Manhattan,10002012001,3.6061E+14
3,Manhattan,10002021000,3.6061E+14
4,Manhattan,10002024000,3.6061E+14
5,Manhattan,10002026003,3.6061E+14
6,Manhattan,10005001001,3.6061E+14
7,Manhattan,10005001003,3.6061E+14
8,Manhattan,10005001005,3.6061E+14
9,Manhattan,10005001007,3.6061E+14
10,Manhattan,10005001010,3.6061E+14
11,Manhattan,10005001011,3.6061E+14
12,Manhattan,10005001013,3.6061E+14
13,Manhattan,10005001015,3.6061E+14
14,Manhattan,10005001016,3.6061E+14
15,Manhattan,10005001020,3.6061E+14
16,Manhattan,10005001024,3.6061E+14
17,Manhattan,10005001027,3.6061E+14
18,Manhattan,10005001029,3.6061E+14
19,Manhattan,10006001000,3.6061E+14
20,Manhattan,10006001001,3.6061E+14
21,Manhattan,10006001002,3.6061E+14
22,Manhattan,10006002003,3.6061E+14
23,Manhattan,10006003000,3.6061E+14
24,Manhattan,10006003001,3.6061E+14
25,Manhattan,10006004000,3.6061E+14
26,Manhattan,10006004001,3.6061E+14
27,Manhattan,10006005000,3.6061E+14
28,Manhattan,10006006000,3.6061E+14
29,Manhattan,10007001000,3.6061E+14
30,Manhattan,10007001001,3.6061E+14
31,Manhattan,10007001002,3.6061E+14
32,Manhattan,10007001003,3.6061E+14
33,Manhattan,10007001004,3.6061E+14
34,Manhattan,10007003000,3.6061E+14
35,Manhattan,10007004003,3.6061E+14
36,Manhattan,10007004004,3.6061E+14
37,Manhattan,10007005000,3.6061E+14
38,Manhattan,10007005001,3.6061E+14
39,Manhattan,10007006000,3.6061E+14
40,Manhattan,10007006001,3.6061E+14
41,Manhattan,10007006002,3.6061E+14
42,Manhattan,10007007000,3.6061E+14
43,Manhattan,10007007001,3.6061E+14
44,Manhattan,10007007002,3.6061E+14
45,Manhattan,10007007003,3.6061E+14
46,Manhattan,10007007004,3.6061E+14
47,Manhattan,10007007005,3.6061E+14
48,Manhattan,10007007006,3.6061E+14
49,Manhattan,10007007007,3.6061E+14
50,Manhattan,10007007008,3.6061E+14
51,Manhattan,10008001001,3.6061E+14
52,Manhattan,10008002000,3.6061E+14
