GeogType,CountyFIPS,BoroCode,BoroName,GEOID20,BCTCB2020,FIPSCTCB20,HUnits
CB2020,005,2,Bronx,20001000001,20001000001,0050001000001,0
CB2020,005,2,Bronx,20001000002,20001000002,0050001000002,0
CB2020,005,2,Bronx,20001001000,20001001000,0050001001000,0
CB2020,005,2,Bronx,20001001001,20001001001,0050001001001,1
CB2020,005,2,Bronx,20001001002,20001001002,0050001001002,0
CB2020,005,2,Bronx,20001001003,20001001003,0050001001003,0
CB2020,005,2,Bronx,20002000001,20002000001,0050002000001,0
CB2020,005,2,Bronx,20002001000,20002001000,0050002001000,103
CB2020,005,2,Bronx,20002001001,20002001001,0050002001001,86
CB2020,005,2,Bronx,20002001002,20002001002,0050002001002,101
CB2020,005,2,Bronx,20002001003,20002001003,0050002001003,99
CB2020,005,2,Bronx,20002001004,20002001004,0050002001004,42
CB2020,005,2,Bronx,20002001005,20002001005,0050002001005,0
CB2020,005,2,Bronx,20002002000,20002002000,0050002002000,70
CB2020,005,2,Bronx,20002002001,20002002001,0050002002001,80
CB2020,005,2,Bronx,20002002002,20002002002,0050002002002,85
CB2020,005,2,Bronx,20002002003,20002002003,0050002002003,76
CB2020,005,2,Bronx,20002002004,20002002004,0050002002004,57
CB2020,005,2,Bronx,20002002005,20002002005,0050002002005,20
CB2020,005,2,Bronx,20002002006,20002002006,0050002002006,280
CB2020,005,2,Bronx,20002002007,20002002007,0050002002007,43
CB2020,005,2,Bronx,20002002008,20002002008,0050002002008,12
CB2020,005,2,Bronx,20002003000,20002003000,0050002003000,45
CB2020,005,2,Bronx,20002003001,20002003001,0050002003001,45
CB2020,005,2,Bronx,20002003002,20002003002,0050002003002,25
CB2020,005,2,Bronx,20002003003,20002003003,0050002003003,9
CB2020,005,2,Bronx,20002003004,20002003004,0050002003004,16
CB2020,005,2,Bronx,20002003005,20002003005,0050002003005,29
CB2020,005,2,Bronx,20002003006,20002003006,0050002003006,19
CB2020,005,2,Bronx,20002003007,20002003007,0050002003007,35
CB2020,005,2,Bronx,20002003008,20002003008,0050002003008,11
CB2020,005,2,Bronx,20002003009,20002003009,0050002003009,8
CB2020,005,2,Bronx,20002003010,20002003010,0050002003010,23
CB2020,005,2,Bronx,20002003011,20002003011,0050002003011,37
CB2020,005,2,Bronx,20002003012,20002003012,0050002003012,34
CB2020,005,2,Bronx,20002003013,20002003013,0050002003013,4
CB2020,005,2,Bronx,20002003014,20002003014,0050002003014,20
CB2020,005,2,Bronx,20002003015,20002003015,0050002003015,6
CB2020,005,2,Bronx,20002003016,20002003016,0050002003016,2
CB2020,005,2,Bronx,20002003017,20002003017,0050002003017,5
CB2020,005,2,Bronx,20002003018,20002003018,0050002003018,1
CB2020,005,2,Bronx,20002003019,20002003019,0050002003019,8
CB2020,005,2,Bronx,20002003020,20002003020,0050002003020,7
CB2020,005,2,Bronx,20002003021,20002003021,0050002003021,9
CB2020,005,2,Bronx,20002003022,20002003022,0050002003022,11
CB2020,005,2,Bronx,20002003023,20002003023,0050002003023,5
CB2020,005,2,Bronx,20002003024,20002003024,0050002003024,5
CB2020,005,2,Bronx,20002003025,20002003025,0050002003025,11
CB2020,005,2,Bronx,20002003026,20002003026,0050002003026,10
CB2020,005,2,Bronx,20004000001,20004000001,0050004000001,0
CB2020,005,2,Bronx,20004000002,20004000002,0050004000002,0
CB2020,005,2,Bronx,20004001000,20004001000,0050004001000,184
CB2020,005,2,Bronx,20004001001,20004001001,0050004001001,88
CB2020,005,2,Bronx,20004001002,20004001002,0050004001002,11
CB2020,005,2,Bronx,20004001003,20004001003,0050004001003,45
CB2020,005,2,Bronx,20004001004,20004001004,0050004001004,1
CB2020,005,2,Bronx,20004002000,20004002000,0050004002000,12
CB2020,005,2,Bronx,20004002001,20004002001,0050004002001,0
CB2020,005,2,Bronx,20004002002,20004002002,0050004002002,213
CB2020,005,2,Bronx,20004002003,20004002003,0050004002003,84
CB2020,005,2,Bronx,20004002004,20004002004,0050004002004,50
CB2020,005,2,Bronx,20004002005,20004002005,0050004002005,63
CB2020,005,2,Bronx,20004002006,20004002006,0050004002006,84
CB2020,005,2,Bronx,20004003000,20004003000,0050004003000,171
CB2020,005,2,Bronx,20004003001,20004003001,0050004003001,63
CB2020,005,2,Bronx,20004003002,20004003002,0050004003002,69
CB2020,005,2,Bronx,20004003003,20004003003,0050004003003,54
CB2020,005,2,Bronx,20004003004,20004003004,0050004003004,8
CB2020,005,2,Bronx,20004003005,20004003005,0050004003005,385
CB2020,005,2,Bronx,20004003006,20004003006,0050004003006,18
CB2020,005,2,Bronx,20004003007,20004003007,0050004003007,56
CB2020,005,2,Bronx,20004003008,20004003008,0050004003008,221
CB2020,005,2,Bronx,20004003009,20004003009,0050004003009,36
CB2020,005,2,Bronx,20004003010,20004003010,0050004003010,47
CB2020,005,2,Bronx,20004004000,20004004000,0050004004000,84
CB2020,005,2,Bronx,20004004001,20004004001,0050004004001,66
CB2020,005,2,Bronx,20004004002,20004004002,0050004004002,30
CB2020,005,2,Bronx,20004004003,20004004003,0050004004003,0
CB2020,005,2,Bronx,20004004004,20004004004,0050004004004,57
CB2020,005,2,Bronx,20004004005,20004004005,0050004004005,0
CB2020,005,2,Bronx,20016001000,20016001000,0050016001000,952
CB2020,005,2,Bronx,20016002000,20016002000,0050016002000,103
CB2020,005,2,Bronx,20016002001,20016002001,0050016002001,112
CB2020,005,2,Bronx,20016002002,20016002002,0050016002002,11
CB2020,005,2,Bronx,20016002003,20016002003,0050016002003,0
CB2020,005,2,Bronx,20016002004,20016002004,0050016002004,93
CB2020,005,2,Bronx,20016002005,20016002005,0050016002005,8
CB2020,005,2,Bronx,20016003000,20016003000,0050016003000,352
CB2020,005,2,Bronx,20016004000,20016004000,0050016004000,0
CB2020,005,2,Bronx,20016004001,20016004001,0050016004001,3
CB2020,005,2,Bronx,20016004002,20016004002,0050016004002,0
CB2020,005,2,Bronx,20016004003,20016004003,0050016004003,0
CB2020,005,2,Bronx,20016004004,20016004004,0050016004004,0
CB2020,005,2,Bronx,20016004005,20016004005,0050016004005,10
CB2020,005,2,Bronx,20016004006,20016004006,0050016004006,105
CB2020,005,2,Bronx,20016004007,20016004007,0050016004007,174
CB2020,005,2,Bronx,20016004008,20016004008,0050016004008,114
CB2020,005,2,Bronx,20016004009,20016004009,0050016004009,44
CB2020,005,2,Bronx,20016004010,20016004010,0050016004010,48
CB2020,005,2,Bronx,20019011000,20019011000,0050019011000,0
CB2020,005,2,Bronx,20019011001,20019011001,0050019011001,0
CB2020,005,2,Bronx,20019011002,20019011002,0050019011002,0
CB2020,005,2,Bronx,20019011003,20019011003,0050019011003,0
CB2020,005,2,Bronx,20019011004,20019011004,0050019011004,0
CB2020,005,2,Bronx,20019011005,20019011005,0050019011005,29
CB2020,005,2,Bronx,20019011006,20019011006,0050019011006,3
CB2020,005,2,Bronx,20019011007,20019011007,0050019011007,2
CB2020,005,2,Bronx,20019011008,20019011008,0050019011008,0
CB2020,005,2,Bronx,20019011009,20019011009,0050019011009,0
CB2020,005,2,Bronx,20019011010,20019011010,0050019011010,323
CB2020,005,2,Bronx,20019011011,20019011011,0050019011011,107
CB2020,005,2,Bronx,20019011012,20019011012,0050019011012,297
