job_number,field,old_value,new_value,reason,edited_date,editor
102138820,classa_init,53,6,,2/3/2020,
102138820,classa_prop,57,19,,2/3/2020,
102138820,hotel_init,53,0,,8/29/2020,KS
102138820,hotel_prop,57,0,,8/29/2020,KS
102138820,otherb_init,53,46,,2/3/2020,
102138820,otherb_prop,57,38,,2/3/2020,
102292010,hotel_prop,2,0,,8/24/2020,KS
102292010,otherb_prop,2,0,,8/24/2020,KS
102347881,classa_prop,3,2,,7/23/2020,TD
102353294,classa_init,,10,,8/25/2021,JS
102353294,classa_prop,10,9,,8/25/2021,JS
102353294,hotel_init,,0,,8/25/2021,JS
102353294,hotel_prop,10,0,,8/25/2021,JS
102353294,otherb_init,,0,,8/25/2021,JS
102353294,otherb_prop,10,0,,8/25/2021,JS
102491590,hotel_init,0,0,,8/27/2020,TD
102491590,hotel_prop,55,0,,8/27/2020,TD
102491590,otherb_init,0,0,,8/27/2020,TD
102491590,otherb_prop,55,0,,8/27/2020,TD
102507253,classa_init,206,119,Resid/Hotel to Hotel,8/28/2020,WS
102507253,classa_prop,251,5,,8/6/2020,TD
102507253,hotel_init,206,76,Resid/Hotel to Hotel,8/28/2020,WS
102507253,hotel_prop,251,246,,8/6/2020,TD
102507253,otherb_init,206,0,Resid/Hotel to Hotel,8/28/2020,WS
102507253,otherb_prop,251,0,Resid/Hotel to Hotel,8/28/2020,WS
102513111,classa_prop,2,3,,8/24/2020,KS
102513111,hotel_prop,2,0,,8/24/2020,KS
102513111,otherb_prop,2,0,,8/24/2020,KS
102537364,classa_init,,0,,8/25/2021,JS
102537364,hotel_init,,0,,8/25/2021,JS
102537364,hotel_prop,10,0,,8/25/2021,JS
102537364,otherb_init,,0,,8/25/2021,JS
102537364,otherb_prop,10,0,,8/25/2021,JS
102545435,classa_init,,207,,8/25/2021,SL
102545435,hotel_init,,0,,8/25/2021,SL
102545435,hotel_prop,197,0,,8/25/2021,SL
102545435,otherb_init,,0,,8/25/2021,SL
102545435,otherb_prop,197,0,,8/25/2021,SL
102553050,classa_prop,1,2,,8/24/2020,KS
102553050,hotel_prop,1,0,,8/24/2020,KS
102553050,otherb_prop,1,0,,8/24/2020,KS
102559116,hotel_prop,3,0,,8/24/2020,KS
102559116,otherb_prop,3,0,,8/24/2020,KS
102610060,hotel_init,82,0,,8/29/2020,TD
102610060,hotel_prop,80,0,,8/29/2020,TD
102610060,otherb_init,82,0,,8/29/2020,TD
102610060,otherb_prop,80,0,,8/29/2020,TD
102640073,classa_prop,3,1,job related to units_.sql,2/21/2020,
102711282,classa_init,8,0,,1/31/2020,
102711282,hotel_init,8,0,,8/29/2020,KS
102711282,hotel_prop,1,0,,8/29/2020,KS
102711282,otherb_init,8,8,,1/31/2020,
102711282,otherb_prop,1,0,,8/29/2020,KS
102713057,hotel_prop,30,0,,8/29/2020,TD
102713057,otherb_prop,30,0,,8/29/2020,TD
102730751,classa_init,,16,,8/25/2021,AP
102730751,hotel_init,,0,,8/25/2021,AP
102730751,hotel_prop,16,0,,8/25/2021,AP
102730751,otherb_init,,0,,8/25/2021,AP
102730751,otherb_prop,16,0,,8/25/2021,AP
102750462,classa_prop,6,7,,7/16/2020,TD
102783016,hotel_prop,4,0,,8/29/2020,SL
102783016,otherb_prop,4,0,,7/31/2020,SL
102797868,hotel_init,8,0,,8/24/2020,TD
102797868,hotel_prop,1,0,,8/24/2020,TD
102797868,otherb_init,8,0,,8/24/2020,TD
102797868,otherb_prop,1,0,,8/24/2020,TD
102837897,hotel_init,13,0,,8/24/2020,TD
102837897,hotel_prop,5,0,,8/24/2020,TD
102837897,otherb_init,13,0,,8/24/2020,TD
102837897,otherb_prop,5,0,,8/24/2020,TD
102846388,hotel_init,0,0,,8/27/2020,TD
102846388,hotel_prop,18,0,,8/27/2020,TD
102846388,otherb_init,0,0,,8/27/2020,TD
102846388,otherb_prop,18,0,,8/27/2020,TD
102874739,classa_init,,18,,8/25/2021,AP
102874739,hotel_init,,0,,8/25/2021,AP
102874739,hotel_prop,17,0,,8/25/2021,AP
102874739,otherb_init,,0,,8/25/2021,AP
102874739,otherb_prop,17,0,,8/25/2021,AP
102904840,classa_init,15,1,,8/24/2020,TD
102904840,hotel_init,15,0,,8/24/2020,TD
102904840,hotel_prop,7,0,,8/24/2020,TD
102904840,otherb_init,15,14,,8/24/2020,TD
102904840,otherb_prop,7,0,,8/24/2020,TD
102912653,classa_init,4,0,,1/26/2021,KS
102912653,classa_prop,3,0,,1/26/2021,KS
102912653,hotel_init,4,0,,1/26/2021,KS
102912653,hotel_prop,3,0,,1/26/2021,KS
102912653,otherb_init,4,0,,1/26/2021,KS
102912653,otherb_prop,3,0,,1/26/2021,KS
102925168,hotel_prop,1,0,,8/24/2020,KS
102925168,otherb_prop,1,0,,8/24/2020,KS
102941346,classa_init,,0,,8/25/2021,JS
102941346,classa_prop,8,6,,8/25/2021,JS
102941346,hotel_init,,0,,8/25/2021,JS
102941346,hotel_prop,8,0,,8/25/2021,JS
102941346,otherb_init,,0,,8/25/2021,JS
102941346,otherb_prop,8,0,,8/25/2021,JS
102945235,classa_prop,1,0,,8/24/2020,KS
102945235,hotel_prop,1,0,,8/24/2020,KS
102945235,otherb_prop,1,273,,8/24/2020,KS
102953403,hotel_prop,12,0,,8/24/2020,KS
102953403,otherb_prop,12,0,,8/24/2020,KS
102956785,classa_init,24,0,,8/28/2020,KS
102956785,hotel_init,24,0,,8/28/2020,KS
102956785,hotel_prop,12,0,,8/28/2020,KS
102956785,otherb_init,24,0,,8/28/2020,KS
102956785,otherb_prop,12,0,,8/28/2020,KS
102958266,hotel_prop,8,0,,8/24/2020,KS
102958266,otherb_prop,8,0,,8/24/2020,KS
102959176,classa_init,,20,,8/24/2021,AP
102959176,hotel_init,,0,,8/24/2021,AP
102959176,hotel_prop,20,0,,8/24/2021,AP
102959176,otherb_init,,0,,8/24/2021,AP
102959176,otherb_prop,20,0,,8/24/2021,AP
102965070,classa_init,10,0,,1/31/2020,
102965070,hotel_init,10,0,,8/29/2020,TD
102965070,hotel_prop,2,0,,8/29/2020,TD
102965070,otherb_init,10,10,,1/31/2020,
102965070,otherb_prop,2,0,,8/29/2020,TD
102965105,classa_prop,5,1,,8/24/2020,KS
102965105,hotel_prop,5,0,,8/24/2020,KS
102965105,otherb_prop,5,0,,8/24/2020,KS
102969682,hotel_prop,117,104,,1/26/2021,KS
102969682,otherb_prop,117,0,,1/26/2021,KS
102994985,classa_init,5,0,"change occ_prop, change u_init",2/14/2020,
103006658,hotel_prop,124,0,,8/24/2020,KS
103006658,otherb_prop,124,0,,8/24/2020,KS
103015443,classa_init,,18,,8/25/2021,AP
103015443,hotel_init,,0,,8/25/2021,AP
