job_number,prop_stories,occ_init,dcp_occ_pr,dcp_occ_category,units_init,units_prop,units_prop_res,units_prop_hotel,u_net_comp,u_net_inc,unit_change_preapr2010,unit_change_postapr2010,unit_change_2011,unit_change_2012,unit_change_2013,unit_change_2014,unit_change_2015,unit_change_2016,unit_change_2017,unit_change_2018,x_mixeduse,bbl,bin,latitude,longitude,x_inactive,hny_id,reason,extra
321182992,,,,,,,,,,,,,,,,,,,,,,3044520390,,,,,,change BBL,
321183009,,,,,,,,,,,,,,,,,,,,,,3044520389,,,,,,change BBL,
321183018,,,,,,,,,,,,,,,,,,,,,,3044520388,,,,,,change BBL,
321183027,,,,,,,,,,,,,,,,,,,,,,3044520387,,,,,,change BBL,
321183036,,,,,,,,,,,,,,,,,,,,,,3044520386,,,,,,change BBL,
321183045,,,,,,,,,,,,,,,,,,,,,,3044520385,,,,,,change BBL,
321183054,,,,,,,,,,,,,,,,,,,,,,3044520393,,,,,,change BBL,
321183063,,,,,,,,,,,,,,,,,,,,,,3044520394,,,,,,change BBL,
321183072,,,,,,,,,,,,,,,,,,,,,,3044520395,,,,,,change BBL,
321183081,,,,,,,,,,,,,,,,,,,,,,3044520396,,,,,,change BBL,
321183090,,,,,,,,,,,,,,,,,,,,,,3044520397,,,,,,change BBL,
321183107,,,,,,,,,,,,,,,,,,,,,,3044520398,,,,,,change BBL,
321183116,,,,,,,,,,,,,,,,,,,,,,3044520399,,,,,,change BBL,
321183125,,,,,,,,,,,,,,,,,,,,,,3044520402,,,,,,change BBL,
321183134,,,,,,,,,,,,,,,,,,,,,,3044520403,,,,,,change BBL,
321183143,,,,,,,,,,,,,,,,,,,,,,3044520404,,,,,,change BBL,
321183152,,,,,,,,,,,,,,,,,,,,,,3044520405,,,,,,change BBL,
321183161,,,,,,,,,,,,,,,,,,,,,,3044520378,,,,,,change BBL,
321183170,,,,,,,,,,,,,,,,,,,,,,3044520379,,,,,,change BBL,
321183223,,,,,,,,,,,,,,,,,,,,,,3044520380,,,,,,change BBL,
321183232,,,,,,,,,,,,,,,,,,,,,,3044520381,,,,,,change BBL,
321183241,,,,,,,,,,,,,,,,,,,,,,3044520382,,,,,,change BBL,
321183250,,,,,,,,,,,,,,,,,,,,,,3044520383,,,,,,change BBL,
321185132,,,,,,,,,,,,,,,,,,,,,,3087970047,,,,,,change BBL,
321185604,,,,,,,,,,,,,,,,,,,,,,3044520377,,,,,,change BBL,
321185622,,,,,,,,,,,,,,,,,,,,,,3044520392,,,,,,change BBL,
321185640,,,,,,,,,,,,,,,,,,,,,,3044520384,,,,,,change BBL,
321187407,,,,,,,,,,,,,,,,,,,,,,3044520463,,,,,,change BBL,
321187425,,,,,,,,,,,,,,,,,,,,,,3044520222,,,,,,change BBL,
321187434,,,,,,,,,,,,,,,,,,,,,,3044520221,,,,,,change BBL,
321187443,,,,,,,,,,,,,,,,,,,,,,3044520220,,,,,,change BBL,
321187452,,,,,,,,,,,,,,,,,,,,,,3044520219,,,,,,change BBL,
321187461,,,,,,,,,,,,,,,,,,,,,,3044520218,,,,,,change BBL,
321187470,,,,,,,,,,,,,,,,,,,,,,3044520217,,,,,,change BBL,
321187489,,,,,,,,,,,,,,,,,,,,,,3044520216,,,,,,change BBL,
321187498,,,,,,,,,,,,,,,,,,,,,,3044520209,,,,,,change BBL,
321187504,,,,,,,,,,,,,,,,,,,,,,3044520210,,,,,,change BBL,
321187513,,,,,,,,,,,,,,,,,,,,,,3044520211,,,,,,change BBL,
321187522,,,,,,,,,,,,,,,,,,,,,,3044520212,,,,,,change BBL,
321187531,,,,,,,,,,,,,,,,,,,,,,3044520213,,,,,,change BBL,
321187540,,,,,,,,,,,,,,,,,,,,,,3044520214,,,,,,change BBL,
321187559,,,,,,,,,,,,,,,,,,,,,,3044520215,,,,,,change BBL,
321187577,,,,,,,,,,,,,,,,,,,,,,3044520247,,,,,,change BBL,
