job_number,field,old_value,new_value,reason,edited_date
101693311,bbl,,1014707501,Geocoding (add Lat/Long),8/13/2019
101693311,bin,,1081245,Geocoding (add Lat/Long),8/13/2019
101694098,bbl,,1014517501,Geocoding (add Lat/Long),8/13/2019
101694098,bin,,1045192,Geocoding (add Lat/Long),8/13/2019
101695499,bbl,,1012720026,Geocoding (add Lat/Long),8/13/2019
101695499,bin,,1084673,Geocoding (add Lat/Long),8/13/2019
101730352,bbl,,1015697503,Geocoding (add Lat/Long),8/13/2019
101730352,bin,,1087460,Geocoding (add Lat/Long),8/13/2019
101850855,bbl,,1012010010,Geocoding (add Lat/Long),8/13/2019
101850855,bin,,1031449,Geocoding (add Lat/Long),8/13/2019
101851060,bbl,,1015230010,Geocoding (add Lat/Long),8/13/2019
101851060,bin,,1048415,Geocoding (add Lat/Long),8/13/2019
101857224,bbl,,1012740006,Geocoding (add Lat/Long),8/13/2019
101857224,bin,,1080443,Geocoding (add Lat/Long),8/13/2019
101900007,bbl,,1012170021,Geocoding (add Lat/Long),8/13/2019
101900007,bin,,1032194,Geocoding (add Lat/Long),8/13/2019
101902853,bbl,,1019280048,Geocoding (add Lat/Long),8/13/2019
101902853,bin,,1058579,Geocoding (add Lat/Long),8/13/2019
101911718,bbl,,1008220069,Geocoding (add Lat/Long),8/13/2019
101911718,bin,,1015511,Geocoding (add Lat/Long),8/13/2019
101933259,bbl,,1004110038,Geocoding (add Lat/Long),8/13/2019
101933259,bin,,1005366,Geocoding (add Lat/Long),8/13/2019
101949723,bbl,,1001240007,Geocoding (add Lat/Long),8/13/2019
101949723,bin,,1001400,Geocoding (add Lat/Long),8/13/2019
101953744,bbl,,1015310028,Geocoding (add Lat/Long),8/13/2019
101953744,bin,,1048772,Geocoding (add Lat/Long),8/13/2019
101964206,bbl,,1002090011,Geocoding (add Lat/Long),8/13/2019
101964206,bin,,1002684,Geocoding (add Lat/Long),8/13/2019
101979922,bbl,,1012490039,Geocoding (add Lat/Long),8/13/2019
101979922,bin,,1033978,Geocoding (add Lat/Long),8/13/2019
101981713,bbl,,1013290024,Geocoding (add Lat/Long),8/13/2019
101981713,bin,,1038583,Geocoding (add Lat/Long),8/13/2019
101993568,bbl,,1002090011,Geocoding (add Lat/Long),8/13/2019
101993568,bin,,1002684,Geocoding (add Lat/Long),8/13/2019
102001708,bbl,,1007200045,Geocoding (add Lat/Long),8/13/2019
102001708,bin,,1086503,Geocoding (add Lat/Long),8/13/2019
102010315,bbl,,1020510117,Geocoding (add Lat/Long),8/13/2019
102010315,bin,,1061096,Geocoding (add Lat/Long),8/13/2019
102015819,bbl,,1016020060,Geocoding (add Lat/Long),8/13/2019
102015819,bin,,1051456,Geocoding (add Lat/Long),8/13/2019
102045396,bbl,,1006030051,Geocoding (add Lat/Long),8/13/2019
102045396,bin,,1010408,Geocoding (add Lat/Long),8/13/2019
102116933,bbl,,1010530023,Geocoding (add Lat/Long),8/13/2019
102116933,bin,,1026359,Geocoding (add Lat/Long),8/13/2019
102134450,bbl,,1004570032,Geocoding (add Lat/Long),8/13/2019
102134450,bin,,1006541,Geocoding (add Lat/Long),8/13/2019
102137732,units_init,,0,change u_init,8/13/2019
102138820,OtherB_init,53,46,,2/3/2020
102138820,OtherB_prop,57,38,,2/3/2020
102138820,units_init,53,6,,2/3/2020
102138820,units_prop,57,19,,2/3/2020
102153839,bbl,,1001410018,Geocoding (add Lat/Long),8/13/2019
102153839,bin,,1001518,Geocoding (add Lat/Long),8/13/2019
102154026,bbl,,1005907502,Geocoding (add Lat/Long),8/13/2019
102154026,bin,,1076078,Geocoding (add Lat/Long),8/13/2019
102243948,bbl,,1001460011,Geocoding (add Lat/Long),8/13/2019
102243948,bin,,1001598,Geocoding (add Lat/Long),8/13/2019
102284172,units_init,,1,,1/27/2020
102324655,bbl,,1021100015,Geocoding (add Lat/Long),8/13/2019
102324655,bin,,1087429,Geocoding (add Lat/Long),8/13/2019
102427928,bbl,,1006150059,Geocoding (add Lat/Long),8/13/2019
102427928,bin,,1011035,Geocoding (add Lat/Long),8/13/2019
102436115,bbl,,1005260076,Geocoding (add Lat/Long),8/13/2019
102436115,bin,,1008335,Geocoding (add Lat/Long),8/13/2019
102445588,bbl,,1016240045,Geocoding (add Lat/Long),8/13/2019
102445588,bin,,1087218,Geocoding (add Lat/Long),8/13/2019
102465814,bbl,,1011540156,Geocoding (add Lat/Long),8/13/2019
102465814,bin,,1030331,Geocoding (add Lat/Long),8/13/2019
102465823,bbl,,1011540158,Geocoding (add Lat/Long),8/13/2019
102465823,bin,,1030332,Geocoding (add Lat/Long),8/13/2019
102465832,bbl,,1011540160,Geocoding (add Lat/Long),8/13/2019
104787009,units_init,,62,change u_init,8/13/2019
102465832,bin,,1030333,Geocoding (add Lat/Long),8/13/2019
102465841,bbl,,1011540162,Geocoding (add Lat/Long),8/13/2019
102465841,bin,,1030334,Geocoding (add Lat/Long),8/13/2019
102484367,units_init,,4,change u_init,8/13/2019
102507253,bbl,,1013050033,Geocoding (add Lat/Long) / mixed-use hotel-res,8/13/2019
102507253,bin,,1036456,Geocoding (add Lat/Long) / mixed-use hotel-res,8/13/2019
102507253,Hotel_init,206,76,,1/31/2020
102507253,Hotel_prop,0,246,,1/31/2020
102507253,unit_change_2011,,0,Geocoding (add Lat/Long) / mixed-use hotel-res,8/13/2019
102507253,unit_change_2012,,-124,Geocoding (add Lat/Long) / mixed-use hotel-res,8/13/2019
102507253,unit_change_2013,,0,Geocoding (add Lat/Long) / mixed-use hotel-res,8/13/2019
102507253,unit_change_2014,,0,Geocoding (add Lat/Long) / mixed-use hotel-res,8/13/2019
102507253,unit_change_2015,,0,Geocoding (add Lat/Long) / mixed-use hotel-res,8/13/2019
102507253,unit_change_2016,,-1,Geocoding (add Lat/Long) / mixed-use hotel-res,8/13/2019
102507253,unit_change_2017,,0,Geocoding (add Lat/Long) / mixed-use hotel-res,8/13/2019
102507253,unit_change_2018,,0,Geocoding (add Lat/Long) / mixed-use hotel-res,8/13/2019
102507253,unit_change_postapr2010,,0,Geocoding (add Lat/Long) / mixed-use hotel-res,8/13/2019
102507253,units_incomplete,,0,Geocoding (add Lat/Long) / mixed-use hotel-res,8/13/2019
102507253,units_init,206,130,,1/31/2020
102507253,units_prop,0,5,,1/31/2020
102515253,bbl,,1013037501,Geocoding (add Lat/Long),8/13/2019
102515253,bin,,1036233,Geocoding (add Lat/Long),8/13/2019
102522003,units_init,,2,change u_init,8/13/2019
102523271,units_init,,7,,12/1/2019
102531770,units_init,,0,change u_init,8/13/2019
102537364,units_init,,0,change u_init,8/13/2019
102545435,units_init,,197,change u_init,8/13/2019
102549299,bbl,,1004680007,Geocoding (add Lat/Long),8/13/2019
102549299,bin,,1079847,Geocoding (add Lat/Long),8/13/2019
102554077,bbl,,1002300020,Geocoding (add Lat/Long),8/13/2019
102554077,bin,,1002991,Geocoding (add Lat/Long),8/13/2019
102573788,bbl,,1000780001,Geocoding (add Lat/Long),8/13/2019
102573788,bin,,1001192,Geocoding (add Lat/Long),8/13/2019
102588898,units_init,,55,change u_init,8/13/2019
102607886,units_init,,8,"change u_init, change u_prop",8/13/2019
102607886,units_prop,,8,"change u_init, change u_prop",8/13/2019
102610060,unit_change_2013,,0,change u_init / change u_prop,8/13/2019
102610060,units_init,,82,change u_init / change u_prop,8/13/2019
102615788,units_init,,0,change u_init,8/13/2019
102625740,occ_init,Hotel or Dormitory,Assisted Living Institution,job related to units_.sql,2/21/2020
102625740,occ_prop,Residential: Multi-Family,Assisted Living Institution,job related to units_.sql,2/21/2020
102625740,OtherB_init,0,48,job related to units_.sql,2/21/2020
102625740,OtherB_prop,,48,job related to units_.sql,2/21/2020
102625740,units_prop,,0,job related to units_.sql,2/21/2020
102631449,bbl,,1001060017,Geocoding (add Lat/Long),8/13/2019
102631449,bin,,1087430,Geocoding (add Lat/Long),8/13/2019
102632741,units_init,,6,change u_init,8/13/2019
102639628,bbl,,1001460023,Geocoding (add Lat/Long),8/13/2019
102639628,bin,,1086485,Geocoding (add Lat/Long),8/13/2019
102640073,OtherB_init,0,10,job related to units_.sql,2/21/2020
102640073,units_init,0,1,job related to units_.sql,2/21/2020
102640073,units_prop,3,1,job related to units_.sql,2/21/2020
102657171,bbl,,1008280001,Geocoding (add Lat/Long),8/13/2019
102657171,bin,,1015632,Geocoding (add Lat/Long),8/13/2019
102665947,bbl,,1015647502,Geocoding (add Lat/Long),8/13/2019
102665947,bin,,1073786,Geocoding (add Lat/Long),8/13/2019
102690189,units_init,,0,change u_init,8/13/2019
102695807,units_init,,0,change u_init,8/13/2019
102704833,bbl,,1012330011,Geocoding (add Lat/Long),8/13/2019
102704833,bin,,1081052,Geocoding (add Lat/Long),8/13/2019
102711282,OtherB_init,8,8,,1/31/2020
102711282,units_init,8,0,,1/31/2020
102714984,units_init,,4,,12/1/2019
102739002,units_init,,1,,12/1/2019
102783016,OtherB_init,8,8,,2/3/2020
102783016,units_init,,0,,2/3/2020
102786059,units_init,,4,"change u_init, change u_prop",8/13/2019
102786059,units_prop,,6,"change u_init, change u_prop",8/13/2019
102798634,units_init,,0,change u_init,8/13/2019
102811076,bbl,,1020670027,Geocoding (add Lat/Long),8/13/2019
102811076,bin,,1061618,Geocoding (add Lat/Long),8/13/2019
104794288,units_init,4,1,,1/31/2020
102862341,bbl,,1012980041,Geocoding (add Lat/Long),8/13/2019
102862341,bin,,1087190,Geocoding (add Lat/Long),8/13/2019
102874739,units_init,,17,change u_init,8/13/2019
102908169,bbl,,1010330109,Geocoding (add Lat/Long),8/13/2019
102908169,bin,,1024938,Geocoding (add Lat/Long),8/13/2019
102908178,bbl,,1010330009,Geocoding (add Lat/Long),8/13/2019
102908178,bin,,1085966,Geocoding (add Lat/Long),8/13/2019
102912653,occ_prop,Commercial,Residential,change occ_prop,8/13/2019
102921849,bbl,,1008687503,Geocoding (add Lat/Long),8/13/2019
102921849,bin,,1085975,Geocoding (add Lat/Long),8/13/2019
102927264,bbl,,1009140036,Geocoding (add Lat/Long),8/13/2019
102927264,bin,,1088117,Geocoding (add Lat/Long),8/13/2019
102947028,units_init,,0,change u_init,8/13/2019
102953911,units_init,228,0,change u_init,2/14/2020
102959176,units_init,,18,,12/1/2019
102963223,bbl,,1019690019,Geocoding (add Lat/Long),8/13/2019
102963223,bin,,1087931,Geocoding (add Lat/Long),8/13/2019
102965070,OtherB_init,10,10,,1/31/2020
102965070,units_init,10,0,,1/31/2020
102971090,units_init,,116,change u_init,8/13/2019
102978896,bbl,,1004200068,Geocoding (add Lat/Long),8/13/2019
102978896,bin,,1075907,Geocoding (add Lat/Long),8/13/2019
102994985,occ_prop,Commercial,Residential,"change occ_prop, change u_init",8/13/2019
102994985,units_init,5,0,"change occ_prop, change u_init",2/14/2020
103017110,bin,,1015272,Geocoding (add Lat/Long),8/13/2019
103018734,units_init,,9,change u_init,8/13/2019
103023568,bbl,,1011820029,Geocoding (add Lat/Long),8/13/2019
103023568,bin,,1030931,Geocoding (add Lat/Long),8/13/2019
103045125,OtherB_init,,13,,12/1/2019
103045125,units_init,,0,,12/1/2019
103045697,units_init,211,0,change u_init,2/14/2020
103045704,bbl,,1013450049,Geocoding (add Lat/Long),8/13/2019
103045704,bin,,1087513,Geocoding (add Lat/Long),8/13/2019
103059690,bbl,,1015050040,Geocoding (add Lat/Long),8/13/2019
103059690,bin,,1047125,Geocoding (add Lat/Long),8/13/2019
103061730,OtherB_init,1,17,,2/3/2020
103061730,units_init,1,0,,2/3/2020
103067413,Hotel_init,0,288,job related to units_.sql,2/21/2020
103067413,Hotel_prop,170,213,job related to units_.sql,2/21/2020
103067413,units_prop,170,0,job related to units_.sql,2/21/2020
103078571,units_init,,0,,12/1/2019
103085965,units_init,,6,change u_init,8/13/2019
103087035,OtherB_init,11,11,,1/31/2020
103087035,units_init,11,0,,1/31/2020
103088686,bbl,,1018280060,Geocoding (add Lat/Long),8/13/2019
103088686,bin,,1055126,Geocoding (add Lat/Long),8/13/2019
103090129,units_init,,8,change u_init,8/13/2019
103093938,units_init,,17,,12/1/2019
103095455,bbl,,1018290009,Geocoding (add Lat/Long),8/13/2019
103095455,bin,,1055141,Geocoding (add Lat/Long),8/13/2019
103096310,bbl,,1009210006,Geocoding (add Lat/Long),8/13/2019
103096310,bin,,1020389,Geocoding (add Lat/Long),8/13/2019
103098452,unit_change_2017,,0,change u_init / change u_prop,8/13/2019
103098452,unit_change_postapr2010,,0,change u_init / change u_prop,8/13/2019
103098452,units_init,,16,change u_init / change u_prop,8/13/2019
103099629,units_init,,0,change u_init,8/13/2019
103100010,bin,,1089507,Geocoding (add Lat/Long),8/13/2019
103100136,OtherB_init,11,11,,1/31/2020
103100136,units_init,,0,,1/31/2020
103111393,bbl,,1002147503,Geocoding (add Lat/Long),8/13/2019
103111393,bin,,1086551,Geocoding (add Lat/Long),8/13/2019
103125235,Hotel_init,46,19,,1/28/2020
103125235,Hotel_prop,0,55,,1/28/2020
103125235,units_init,46,11,,1/28/2020
103125235,units_prop,0,5,,1/28/2020
103126742,bbl,,1002147503,Geocoding (add Lat/Long),8/13/2019
103126742,bin,,1086551,Geocoding (add Lat/Long),8/13/2019
103129179,units_init,,0,change u_init,8/13/2019
103131086,bbl,,1017530058,Geocoding (add Lat/Long),8/13/2019
103131086,bin,,1087891,Geocoding (add Lat/Long),8/13/2019
103133663,units_init,,3,change u_init,8/13/2019
103146230,bin,,1023160,Geocoding (add Lat/Long),8/13/2019
103178534,bin,,1086101,Geocoding (add Lat/Long),8/13/2019
103178865,bin,,1086102,Geocoding (add Lat/Long),8/13/2019
103179061,bin,,1086440,Geocoding (add Lat/Long),8/13/2019
103181058,bbl,,1021210053,Geocoding (add Lat/Long),8/13/2019
103181058,bin,,1062905,Geocoding (add Lat/Long),8/13/2019
103184037,OtherB_init,18,18,,1/31/2020
103184037,units_init,,0,,1/31/2020
103185731,units_init,,2,,12/1/2019
103186589,units_init,,16,change u_init,8/13/2019
103190716,bbl,,1002120045,Geocoding (add Lat/Long),8/13/2019
103190716,bin,,1002738,Geocoding (add Lat/Long),8/13/2019
103193456,bbl,,1008290001,Geocoding (add Lat/Long),8/13/2019
103193456,bin,,1088723,Geocoding (add Lat/Long),8/13/2019
103198549,unit_change_postapr2010,,0,change u_init / change u_prop,8/13/2019
103198549,units_init,,120,change u_init / change u_prop,8/13/2019
103199245,bin,,1085962,Geocoding (add Lat/Long),8/13/2019
103208636,units_init,,17,change u_init,8/13/2019
103234705,units_init,,0,change u_init,8/13/2019
103237873,units_init,,2,change u_init,8/13/2019
103237962,occ_init,Residential,Residential: 1 & 2 Family,"change occ_init, change u_init, change u_prop",8/13/2019
103237962,units_init,,2,"change occ_init, change u_init, change u_prop",8/13/2019
103237962,units_prop,,0,"change occ_init, change u_init, change u_prop",8/13/2019
103252882,bbl,,1010640036,Geocoding (add Lat/Long),8/13/2019
103252882,bin,,1026797,Geocoding (add Lat/Long),8/13/2019
103278855,bbl,,1019760019,Geocoding (add Lat/Long),8/13/2019
103278855,bin,,1059654,Geocoding (add Lat/Long),8/13/2019
103285286,units_init,,3,,12/1/2019
103305184,bin,,1060788,Geocoding (add Lat/Long),8/13/2019
103307057,units_init,,204,change u_init,8/13/2019
103310329,bbl,,1004580006,Geocoding (add Lat/Long),8/13/2019
103310329,bin,,1006545,Geocoding (add Lat/Long),8/13/2019
103312210,OtherB_init,5,15,,2/3/2020
103312210,units_init,5,1,,2/3/2020
103314673,units_init,,0,change u_init,8/13/2019
103322851,bbl,,1008670044,Geocoding (add Lat/Long),8/13/2019
103322851,bin,,1017213,Geocoding (add Lat/Long),8/13/2019
103325260,occ_prop,Assembly: Other,Leisure & Entertainment,change occ_prop,8/13/2019
103325956,bbl,,1011050029,Geocoding (add Lat/Long),8/13/2019
103325956,bin,,1081009,Geocoding (add Lat/Long),8/13/2019
103326731,occ_prop,Commercial,Residential,change occ_prop,8/13/2019
103330833,unit_change_preapr2010,,-1,change u_init / change u_prop,8/13/2019
103330833,units_init,,26,change u_init / change u_prop,8/13/2019
103332546,bin,,1087241,Geocoding (add Lat/Long),8/13/2019
103337220,units_init,,20,change u_init,8/13/2019
103344524,units_init,,6,change u_init,8/13/2019
103347870,units_init,,10,change u_init,8/13/2019
103351016,bbl,,1015600001,Geocoding (add Lat/Long),8/13/2019
103351016,bin,,1050360,Geocoding (add Lat/Long),8/13/2019
103364173,OtherB_init,11,12,,1/31/2020
103364173,units_init,11,0,,1/31/2020
103364734,units_init,,33,change u_init,8/13/2019
103390028,units_init,,33,change u_init,8/13/2019
103394890,units_init,,270,change u_init,8/13/2019
103405236,units_init,,183,change u_init,8/13/2019
103413735,bin,,1086554,Geocoding (add Lat/Long),8/13/2019
103420647,bbl,,1007400012,Geocoding (add Lat/Long),8/13/2019
103420647,bin,,1087208,Geocoding (add Lat/Long),8/13/2019
103422039,bbl,,1000970032,Geocoding (add Lat/Long),8/13/2019
103422039,bin,,1087577,Geocoding (add Lat/Long),8/13/2019
103423029,bbl,,1000970030,Geocoding (add Lat/Long),8/13/2019
103423788,bbl,,1000970018,Geocoding (add Lat/Long),8/13/2019
103423788,bin,,1087524,Geocoding (add Lat/Long),8/13/2019
103428863,units_init,,25,change u_init,8/13/2019
103447646,bbl,,1002170023,change BBL,8/13/2019
103454450,units_init,,2,,12/1/2019
103465714,units_init,,338,change u_init,8/13/2019
103469266,occ_prop,Commercial,Residential,change occ_prop,8/13/2019
103469266,units_init,,1,,1/28/2020
103474740,units_init,,0,change u_init,8/13/2019
103482269,units_init,,46,change u_init,8/13/2019
103489100,units_init,,0,change u_init,8/13/2019
103493177,units_init,,20,change u_init,8/13/2019
103493480,unit_change_preapr2010,,-1,change u_init / change u_prop,8/13/2019
103493480,units_init,,38,change u_init / change u_prop,8/13/2019
103493480,units_prop,,37,change u_init / change u_prop,8/13/2019
103509197,units_init,,5,change u_init,8/13/2019
103510443,occ_init,Residential,Hotel or Dormitory,change u_init,8/13/2019
103510443,OtherB_init,,8,,1/27/2020
103510443,units_init,,0,,1/28/2020
103511807,bbl,,1010260041,Geocoding (add Lat/Long),8/13/2019
103511807,bin,,1024858,Geocoding (add Lat/Long),8/13/2019
103511923,OtherB_init,4,13,,2/3/2020
103511923,units_init,4,0,,2/3/2020
103520414,units_init,,131,change u_init,8/13/2019
103533231,bbl,,1018020036,Geocoding (add Lat/Long),8/13/2019
103533231,bin,,1054791,Geocoding (add Lat/Long),8/13/2019
103535792,bbl,,1016590144,Geocoding (add Lat/Long),8/13/2019
103535792,bin,,1087889,Geocoding (add Lat/Long),8/13/2019
103541936,bbl,,1000880014,Geocoding (add Lat/Long),8/13/2019
103541936,bin,,1087947,Geocoding (add Lat/Long),8/13/2019
103545022,units_init,,9,change u_init,8/13/2019
103549545,bin,,1081307,Geocoding (add Lat/Long),8/13/2019
103550024,OtherB_init,,217,job related to units_.sql,2/21/2020
103550024,OtherB_prop,0,146,job related to units_.sql,2/21/2020
103550024,units_init,,0,job related to units_.sql,2/21/2020
103550499,OtherB_init,,4,,12/1/2019
103550499,units_init,,0,,12/1/2019
103551112,units_init,,10,change u_init,8/13/2019
103559846,units_init,,0,change u_init,8/13/2019
103573492,units_init,,2,change u_init,8/13/2019
103576024,bbl,,1004740049,change BBL,8/13/2019
103576202,bbl,,1016467502,Geocoding (add Lat/Long),8/13/2019
103576202,bin,,1086570,Geocoding (add Lat/Long),8/13/2019
103578665,bbl,,1016160024,Geocoding (add Lat/Long),8/13/2019
103578665,bin,,1087365,Geocoding (add Lat/Long),8/13/2019
103581919,OtherB_init,0,8,job related to units_.sql,2/21/2020
103595236,bbl,,1000160195,Geocoding (add Lat/Long),8/13/2019
103595236,bin,,1086507,Geocoding (add Lat/Long),8/13/2019
103595691,occ_init,Residential,Hotel or Dormitory,change u_init,8/13/2019
103595691,OtherB_init,1,8,job related to units_.sql,2/21/2020
103595691,units_init,,1,change u_init,8/13/2019
103603744,bbl,,1014460141,Geocoding (add Lat/Long),8/13/2019
103603744,bin,,1044873,Geocoding (add Lat/Long),8/13/2019
103612832,units_init,,4,change u_init,8/13/2019
103619657,units_init,,2,change u_init,8/13/2019
103623571,units_init,,21,change u_init,8/13/2019
103627407,unit_change_2011,,0,Geocoding (add Lat/Long) / change u_init / change u_prop,8/13/2019
103627407,units_init,,11,Geocoding (add Lat/Long) / change u_init / change u_prop,8/13/2019
103635737,bbl,,1001800008,Geocoding (add Lat/Long),8/13/2019
103635737,bin,,1002023,Geocoding (add Lat/Long),8/13/2019
103636059,units_init,,2,change u_init,8/13/2019
103671475,bbl,,1019080055,Geocoding (add Lat/Long),8/13/2019
103671475,bin,,1088144,Geocoding (add Lat/Long),8/13/2019
103673543,units_init,,0,change u_init,8/13/2019
103682249,bbl,,1001730027,Geocoding (add Lat/Long) / add prop_stories / ,8/13/2019
103682249,bin,,1087082,Geocoding (add Lat/Long) / add prop_stories / ,8/13/2019
103682249,stories_prop,,21,Geocoding (add Lat/Long) / add prop_stories / ,8/13/2019
103693068,bbl,,1017837501,Geocoding (add Lat/Long),8/13/2019
103693068,bin,,1087918,Geocoding (add Lat/Long),8/13/2019
103696911,bbl,,1008840042,Geocoding (add Lat/Long),8/13/2019
103696911,bin,,1087633,Geocoding (add Lat/Long),8/13/2019
103701638,bbl,,1021090018,Geocoding (add Lat/Long),8/13/2019
103701638,bin,,1062536,Geocoding (add Lat/Long),8/13/2019
103701978,units_init,,1,change u_init,8/13/2019
103702067,units_init,,6,change u_init,8/13/2019
103716338,bbl,,1004690049,Geocoding (add Lat/Long),8/13/2019
103716338,bin,,1088211,Geocoding (add Lat/Long),8/13/2019
103720298,units_init,,17,change u_init,8/13/2019
103728717,bbl,,1017530048,Geocoding (add Lat/Long),8/13/2019
103728717,bin,,1086526,Geocoding (add Lat/Long),8/13/2019
103730447,bbl,,1004637501,Geocoding (add Lat/Long),8/13/2019
103730447,bin,,1006698,Geocoding (add Lat/Long),8/13/2019
103736600,bbl,,1003500026,Geocoding (add Lat/Long),8/13/2019
103736600,bin,,1088336,Geocoding (add Lat/Long),8/13/2019
103739215,units_init,,0,change u_init,8/13/2019
103740310,units_init,,2,change u_init,8/13/2019
103740329,units_init,,4,change u_init,8/13/2019
103742531,bbl,,1007540012,Geocoding (add Lat/Long),8/13/2019
103744414,Hotel_init,,684,job related to units_.sql,2/21/2020
103744414,Hotel_prop,0,651,job related to units_.sql,2/21/2020
103744414,units_init,,3,job related to units_.sql,2/21/2020
103744414,units_prop,0,3,job related to units_.sql,2/21/2020
104805533,units_init,,0,change u_init,8/13/2019
103749455,bbl,,1005520033,Geocoding (add Lat/Long),8/13/2019
