job_number,field,old_value,new_value,reason,edited_date,editor
102137732,classa_init,,0,change u_init,8/13/19,
102138820,classa_init,53,6,,2/3/20,
102138820,classa_prop,57,19,,2/3/20,
102138820,hotel_init,53,0,,8/29/20,KS
102138820,hotel_prop,57,0,,8/29/20,KS
102138820,otherb_init,53,46,,2/3/20,
102138820,otherb_prop,57,38,,2/3/20,
102284172,classa_init,,1,,1/27/20,
102292010,classa_init,,0,,8/24/20,KS
102292010,hotel_init,,0,,8/24/20,KS
102292010,hotel_prop,2,0,,8/24/20,KS
102292010,otherb_init,,0,,8/24/20,KS
102292010,otherb_prop,2,0,,8/24/20,KS
102347881,classa_init,,0,,7/23/20,TD
102347881,classa_prop,3,2,,7/23/20,TD
102484367,classa_init,,4,change u_init,8/13/19,
102491590,hotel_init,0,0,,8/27/20,TD
102491590,hotel_prop,55,0,,8/27/20,TD
102491590,otherb_init,0,0,,8/27/20,TD
102491590,otherb_prop,55,0,,8/27/20,TD
102507253,classa_init,206,119,Resid/Hotel to Hotel,8/28/20,WS
102507253,classa_prop,251,5,,8/6/20,TD
102507253,hotel_init,206,76,Resid/Hotel to Hotel,8/28/20,WS
102507253,hotel_prop,251,246,,8/6/20,TD
102507253,otherb_init,206,0,Resid/Hotel to Hotel,8/28/20,WS
102507253,otherb_prop,251,0,Resid/Hotel to Hotel,8/28/20,WS
102513111,classa_init,,3,,8/24/20,KS
102513111,classa_prop,2,3,,8/24/20,KS
102513111,hotel_init,,0,,8/24/20,KS
102513111,hotel_prop,2,0,,8/24/20,KS
102513111,otherb_init,,0,,8/24/20,KS
102513111,otherb_prop,2,0,,8/24/20,KS
102514557,classa_init,,52,,8/14/20,SL
102522003,classa_init,,2,change u_init,8/13/19,
102523271,classa_init,,7,,12/1/19,
102531770,classa_init,,0,change u_init,8/13/19,
102537364,classa_init,,0,change u_init,8/13/19,
102545435,classa_init,,197,change u_init,8/13/19,
102553050,classa_init,,2,,8/24/20,KS
102553050,classa_prop,1,2,,8/24/20,KS
102553050,hotel_init,,0,,8/24/20,KS
102553050,hotel_prop,1,0,,8/24/20,KS
102553050,otherb_init,,0,,8/24/20,KS
102553050,otherb_prop,1,0,,8/24/20,KS
102559116,classa_init,,0,,8/24/20,KS
102559116,hotel_init,,0,,8/24/20,KS
102559116,hotel_prop,3,0,,8/24/20,KS
102559116,otherb_init,,0,,8/24/20,KS
102559116,otherb_prop,3,0,,8/24/20,KS
102582420,classa_init,,0,,7/23/20,TD
102588898,classa_init,,55,change u_init,8/13/19,
102607886,classa_init,,8,"change u_init, change u_prop",8/13/19,
102607886,classa_prop,,8,"change u_init, change u_prop",8/13/19,
102610060,hotel_init,82,0,,8/29/20,TD
102610060,hotel_prop,80,0,,8/29/20,TD
102610060,otherb_init,82,0,,8/29/20,TD
102610060,otherb_prop,80,0,,8/29/20,TD
102615788,classa_init,,0,change u_init,8/13/19,
102625740,classa_prop,,0,job related to units_.sql,2/21/20,
102625740,otherb_init,,48,job related to units_.sql,2/21/20,
102625740,otherb_prop,,48,job related to units_.sql,2/21/20,
102632741,classa_init,,6,change u_init,8/13/19,
102640073,classa_init,,1,job related to units_.sql,2/21/20,
102640073,classa_prop,3,1,job related to units_.sql,2/21/20,
102640073,otherb_init,,10,job related to units_.sql,2/21/20,
102690189,classa_init,,0,change u_init,8/13/19,
102695807,classa_init,,0,change u_init,8/13/19,
102711282,classa_init,8,0,,1/31/20,
102711282,hotel_init,8,0,,8/29/20,KS
102711282,hotel_prop,1,0,,8/29/20,KS
102711282,otherb_init,8,8,,1/31/20,
102711282,otherb_prop,1,0,,8/29/20,KS
102713057,classa_init,,0,,8/29/20,TD
102713057,hotel_init,,0,,8/29/20,TD
102713057,hotel_prop,30,0,,8/29/20,TD
102713057,otherb_init,,0,,8/29/20,TD
102713057,otherb_prop,30,0,,8/29/20,TD
102714984,classa_init,,4,,12/1/19,
102739002,classa_init,,1,,12/1/19,
102741464,classa_init,,0,,7/23/20,TD
102750462,classa_init,,5,,7/16/20,TD
102750462,classa_prop,6,7,,7/16/20,TD
102783016,classa_init,,0,,2/3/20,
102783016,hotel_init,,0,,8/29/20,SL
102783016,hotel_prop,4,0,,8/29/20,SL
102783016,otherb_init,,8,,7/31/20,SL
102783016,otherb_prop,4,0,,7/31/20,SL
102786059,classa_init,,4,"change u_init, change u_prop",8/13/19,
102786059,classa_prop,,6,"change u_init, change u_prop",8/13/19,
102796306,classa_init,,0,,7/23/20,TD
102797868,hotel_init,8,0,,8/24/20,TD
102797868,hotel_prop,1,0,,8/24/20,TD
102797868,otherb_init,8,0,,8/24/20,TD
102797868,otherb_prop,1,0,,8/24/20,TD
102798634,classa_init,,0,change u_init,8/13/19,
102837897,hotel_init,13,0,,8/24/20,TD
102837897,hotel_prop,5,0,,8/24/20,TD
102837897,otherb_init,13,0,,8/24/20,TD
102837897,otherb_prop,5,0,,8/24/20,TD
102846388,hotel_init,0,0,,8/27/20,TD
102846388,hotel_prop,18,0,,8/27/20,TD
102846388,otherb_init,0,0,,8/27/20,TD
