job_number,flag,outlier
321571312,unit_change_2018 is negative,N
421456061,unit_change_2018 is negative,N
321697552,unit_change_2018 is negative,N
321648160,unit_change_2018 is negative,N
121109576,top 10 units_prop A1,
421022164,top 10 units_prop A1,
120069291,top 10 units_prop A1,
310230568,top 10 units_prop A1,
321528799,top 10 units_prop A1,
120328476,top 10 units_prop A1,
121109576,top 10 units_prop A1,
310230568,top 10 units_prop A1,
104177481,top 10 units_prop A1,
121109576,top 10 units_prop A1,
310230568,top 10 units_prop A1,
104177481,top 10 units_prop A1,
121109576,top 10 units_prop A1,
310230568,top 10 units_prop A1,
104177481,top 10 units_prop A1,
121109576,top 10 units_prop A1,
310230568,top 10 units_prop A1,
104177481,top 10 units_prop A1,
121109576,top 10 units_prop A1,
310230568,top 10 units_prop A1,
104177481,top 10 units_prop A1,
121109576,top 10 units_prop A1,
310230568,top 10 units_prop A1,
104177481,top 10 units_prop A1,
120762754,top 20 units_net A1,
121109576,top 10 units_prop A1,
310230568,top 10 units_prop A1,
104177481,top 10 units_prop A1,
121109576,top 10 units_prop A1,
310230568,top 10 units_prop A1,
104177481,top 10 units_prop A1,
104869509,top 20 units_net A1,
121109576,top 10 units_prop A1,
320012525,top 20 units_net A1,
310230568,top 10 units_prop A1,
121186821,top 10 units_prop A1,
104177481,top 10 units_prop A1,
320350909,top 20 units_net A1,
120021485,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
121109576,top 10 units_prop A1,
121186821,top 20 units_net A1,
102994985,,N
302085295,,N
110330909,,N
200797156,,N
310246114,,N
301568248,,N
500911294,,N
120700795,,N
104294096,,N
110435413,,N
120926052,,N
302085268,,N
401639973,,N
301953759,,N
301626088,,N
302085259,,N
104881530,,N
120077380,,N
310226010,,N
104930461,,N
301491543,,N
104402941,,N
301139499,,N
301963285,,N
110474914,,N
302387682,,N
104278130,,N
104934065,,N
121862751,,N
200773378,,N
302197655,,N
102926933,,N
103916498,,N
210086315,,N
110450752,,N
104813720,,N
121394295,,N
104813711,,N
301228525,,N
121854323,,N
122948640,,N
121048053,,N
402681175,,N
302085286,,N
110418174,,N
120926061,,N
120869596,,N
302157573,,N
104945516,,N
104945507,,N
104413403,,N
420295932,,N
201106588,,N
520322286,unit_change_2018 is negative,N
321700566,unit_change_2018 is negative,N
421548757,unit_change_2018 is negative,N
421642235,unit_change_2018 is negative,N
520311458,unit_change_2018 is negative,N
321662768,unit_change_2018 is negative,N
421398231,unit_change_2018 is negative,N
520319414,unit_change_2018 is negative,N
321786956,unit_change_2018 is negative,N
310230568,top 10 units_prop A1,
121186821,top 10 units_prop A1,
104177481,top 10 units_prop A1,
302250597,job_type= A1 and units_net < -50,
122240574,,C
321694234,unit_change_2018 is negative,N
121641492,unit_change_2018 is negative,N
121862751,job_type= A1 and units_net < -50,N
320350909,top 20 units_net A1,
120021485,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
121109576,top 10 units_prop A1,
121186821,top 20 units_net A1,
310230568,top 10 units_prop A1,
121186821,top 10 units_prop A1,
104177481,top 10 units_prop A1,
302250597,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
121582689,top 20 units_net A1,
310230568,top 10 units_prop A1,
121186821,top 20 units_net A1,
121326476,job_type= A1 and units_net < -50,
421548739,unit_change_2018 is negative,N
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
321528799,top 10 units_prop A1,
410005934,top 10 units_prop A1,
120021485,job_type= A1 and units_net < -50,
321646778,unit_change_2018 is negative,N
121109576,top 10 units_prop A1,
120086762,job_type= A1 and units_net < -50,
421548258,unit_change_2018 is negative,N
421548720,unit_change_2018 is negative,N
320321362,top 20 units_net A1,
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
310230568,top 10 units_prop Alteration,
122673446,unit_change_2018 is negative,N
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
421480365,unit_change_2018 is negative,N
121109576,top 10 units_prop Alteration,
520338251,unit_change_2018 is negative,N
120021485,job_type= A1 and units_net < -50,
120086762,job_type= A1 and units_net < -50,
320350909,top 20 units_net A1,
321425249,unit_change_2018 is negative,N
120021485,job_type= A1 and units_net < -50,
121326476,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
520312812,unit_change_2018 is negative,N
321794849,unit_change_2018 is negative,N
121109576,top 10 units_prop A1,
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
310230568,top 10 units_prop A1,
321528799,top 10 units_prop A1,
410005934,top 10 units_prop A1,
120086762,job_type= A1 and units_net < -50,
520324266,unit_change_2018 is negative,N
320321362,top 20 units_net A1,
122070098,unit_change_2018 is negative,N
121582689,top 20 units_net A1,
220631546,unit_change_2018 is negative,N
121186821,top 20 units_net A1,
310230568,top 10 units_prop Alteration,
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
121109576,top 10 units_prop Alteration,
104672310,unit_change_2018 is negative,N
120021485,job_type= A1 and units_net < -50,
120086762,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
310230568,top 10 units_prop Alteration,
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
121109576,top 10 units_prop Alteration,
120021485,job_type= A1 and units_net < -50,
220623626,unit_change_2018 is negative,N
120086762,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
310230568,top 10 units_prop Alteration,
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
320350909,top 20 units_net A1,
321676986,unit_change_2018 is negative,N
102507253,job_type= A1 and units_net < -50,
121109576,top 10 units_prop Alteration,
320284955,top 20 units_net A1,N
421592949,unit_change_2018 is negative,N
120021485,job_type= A1 and units_net < -50,
120086762,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
310230568,top 10 units_prop Alteration,
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
121109576,top 10 units_prop Alteration,
120021485,job_type= A1 and units_net < -50,
120086762,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
310230568,top 10 units_prop Alteration,
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
121109576,top 10 units_prop Alteration,
120021485,job_type= A1 and units_net < -50,
520332809,unit_change_2018 is negative,N
120086762,job_type= A1 and units_net < -50,
421605310,unit_change_2018 is negative,N
520326111,unit_change_2018 is negative,N
421531925,unit_change_2018 is negative,N
520189929,unit_change_2018 is negative,N
102501810,unit_change_2018 is negative,N
302085277,job_type= DM and units_init > 19,N
321280485,unit_change_2018 is negative,N
120926052,job_type= A1 and units_net < -50,N
421535459,unit_change_2018 is negative,N
321679876,unit_change_2018 is negative,N
421457578,unit_change_2018 is negative,N
220600721,unit_change_2018 is negative,N
120700795,job_type= A1 and units_net < -50,N
321251015,unit_change_2018 is negative,N
421239412,unit_change_2018 is negative,N
321423679,unit_change_2018 is negative,N
520326521,unit_change_2018 is negative,N
420652546,top 20 units_net A1,N
320908942,unit_change_2018 is negative,N
320321362,top 20 units_net A1,
122371236,unit_change_2018 is negative,N
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
520320466,unit_change_2018 is negative,N
310230568,top 10 units_prop Alteration,
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
121109576,top 10 units_prop Alteration,
120021485,job_type= A1 and units_net < -50,
120086762,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
310230568,top 10 units_prop Alteration,
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
121109576,top 10 units_prop Alteration,
120021485,job_type= A1 and units_net < -50,
120086762,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
122826059,unit_change_2018 is negative,N
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
321688991,unit_change_2018 is negative,N
310230568,top 10 units_prop Alteration,
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
121109576,top 10 units_prop Alteration,
120021485,job_type= A1 and units_net < -50,
120086762,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
310230568,top 10 units_prop Alteration,
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
321744957,unit_change_2018 is negative,N
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
121109576,top 10 units_prop Alteration,
520255508,unit_change_2018 is negative,N
421569671,unit_change_2018 is negative,N
120021485,job_type= A1 and units_net < -50,
220611666,unit_change_2018 is negative,N
421570311,unit_change_2018 is negative,N
120086762,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
310230568,top 10 units_prop Alteration,
421592930,unit_change_2018 is negative,N
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
520311467,unit_change_2018 is negative,N
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
121109576,top 10 units_prop Alteration,
120021485,job_type= A1 and units_net < -50,
120086762,job_type= A1 and units_net < -50,
421484655,unit_change_2018 is negative,N
320321362,top 20 units_net A1,
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
310230568,top 10 units_prop Alteration,
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
121109576,top 10 units_prop Alteration,
120021485,job_type= A1 and units_net < -50,
120086762,job_type= A1 and units_net < -50,
320321362,top 20 units_net A1,
220547718,unit_change_2018 is negative,N
121582689,top 20 units_net A1,
121186821,top 20 units_net A1,
310230568,top 10 units_prop Alteration,
121326476,job_type= A1 and units_net < -50,
120069291,top 10 units_prop Alteration,
320350909,top 20 units_net A1,
102507253,job_type= A1 and units_net < -50,
121109576,top 10 units_prop Alteration,
120021485,job_type= A1 and units_net < -50,
120086762,job_type= A1 and units_net < -50,
123599472,job_type= DM and units_init > 19,N
120069291,top 10 units_prop Alteration,N
310230568,top 10 units_prop Alteration,
121188981,job_description contains both %RESID% AND %HOTEL%,N
410005934,top 10 units_prop Alteration,C
421484049,job_type= DM and units_init > 19,C
123153041,job_type= DM and units_init > 19,N
321638108,unit_change_2018 is negative,N
123416945,job_type= DM and units_init > 19,N
220667829,job_type= DM and units_init > 19,C
120328476,top 10 units_prop Alteration,N
121109576,top 10 units_prop Alteration,
321186587,top 20 units_net A1,N
321615427,unit_change_2018 is negative,N
123154237,job_type= DM and units_init > 19,N
123599472,job_type= DM and units_init > 19,N
120069291,top 10 units_prop Alteration,N
310230568,top 10 units_prop Alteration,
121188981,job_description contains both %RESID% AND %HOTEL%,N
104933235,unit_change_2018 is negative,N
410005934,top 10 units_prop Alteration,C
110188706,unit_change_2018 is negative,N
421484049,job_type= DM and units_init > 19,C
123153041,job_type= DM and units_init > 19,N
123416945,job_type= DM and units_init > 19,N
320914640,unit_change_2018 is negative,N
122693530,unit_change_2018 is negative,N
123343872,unit_change_2018 is negative,N
220667829,job_type= DM and units_init > 19,C
421621490,unit_change_2018 is negative,N
120328476,top 10 units_prop Alteration,N
421419959,unit_change_2018 is negative,N
121109576,top 10 units_prop Alteration,
321186587,top 20 units_net A1,N
123154237,job_type= DM and units_init > 19,N
421548463,unit_change_2018 is negative,N
321366213,unit_change_2018 is negative,N
520335726,unit_change_2018 is negative,N
520334745,unit_change_2018 is negative,N
321326196,unit_change_2018 is negative,N
123131039,unit_change_2018 is negative,N
421601289,unit_change_2018 is negative,N
104192758,unit_change_2018 is negative,N
321509907,unit_change_2018 is negative,N
122817988,unit_change_2018 is negative,N
200776446,job_type= DM and units_init > 19,N
421587125,unit_change_2018 is negative,N
421548454,unit_change_2018 is negative,N
421587713,unit_change_2018 is negative,N
220616233,unit_change_2018 is negative,N
123599472,job_type= DM and units_init > 19,N
120069291,top 10 units_prop Alteration,N
310230568,top 10 units_prop Alteration,
121188981,job_description contains both %RESID% AND %HOTEL%,N
410005934,top 10 units_prop Alteration,C
421584645,unit_change_2018 is negative,N
421484049,job_type= DM and units_init > 19,C
123153041,job_type= DM and units_init > 19,N
123416945,job_type= DM and units_init > 19,N
220667829,job_type= DM and units_init > 19,C
120328476,top 10 units_prop Alteration,N
104616122,job_type= DM and units_init > 19,N
121109576,top 10 units_prop Alteration,
321186587,top 20 units_net A1,N
123154237,job_type= DM and units_init > 19,N
321564516,unit_change_2018 is negative,N
123599472,job_type= DM and units_init > 19,N
421643190,unit_change_2018 is negative,N
401101151,job_type= DM and units_init > 19,N
120069291,top 10 units_prop Alteration,N
310230568,top 10 units_prop Alteration,
121188981,job_description contains both %RESID% AND %HOTEL%,N
410005934,top 10 units_prop Alteration,C
421484049,job_type= DM and units_init > 19,C
123153041,job_type= DM and units_init > 19,N
123416945,job_type= DM and units_init > 19,N
220667829,job_type= DM and units_init > 19,C
120328476,top 10 units_prop Alteration,N
520323052,unit_change_2018 is negative,N
121109576,top 10 units_prop Alteration,
321186587,top 20 units_net A1,N
123154237,job_type= DM and units_init > 19,N
123599472,job_type= DM and units_init > 19,N
120069291,top 10 units_prop Alteration,N
310230568,top 10 units_prop Alteration,
121188981,job_description contains both %RESID% AND %HOTEL%,N
410005934,top 10 units_prop Alteration,C
421484049,job_type= DM and units_init > 19,C
321749907,unit_change_2018 is negative,N
321520430,unit_change_2018 is negative,N
103977412,unit_change_2018 is negative,N
123153041,job_type= DM and units_init > 19,N
123416945,job_type= DM and units_init > 19,N
220667829,job_type= DM and units_init > 19,C
421589506,unit_change_2018 is negative,N
120328476,top 10 units_prop Alteration,N
121109576,top 10 units_prop Alteration,
321186587,top 20 units_net A1,N
123154237,job_type= DM and units_init > 19,N
123599472,job_type= DM and units_init > 19,N
321728314,unit_change_2018 is negative,N
120069291,top 10 units_prop Alteration,N
310230568,top 10 units_prop Alteration,
121188981,job_description contains both %RESID% AND %HOTEL%,N
410005934,top 10 units_prop Alteration,C
421484049,job_type= DM and units_init > 19,C
123153041,job_type= DM and units_init > 19,N
123416945,job_type= DM and units_init > 19,N
220667829,job_type= DM and units_init > 19,C
120328476,top 10 units_prop Alteration,N
421524345,unit_change_2018 is negative,N
121109576,top 10 units_prop Alteration,
321186587,top 20 units_net A1,N
321694323,unit_change_2018 is negative,N
123154237,job_type= DM and units_init > 19,N
123599472,job_type= DM and units_init > 19,N
120069291,top 10 units_prop Alteration,N
310230568,top 10 units_prop Alteration,
121188981,job_description contains both %RESID% AND %HOTEL%,N
410005934,top 10 units_prop Alteration,C
421484049,job_type= DM and units_init > 19,C
123153041,job_type= DM and units_init > 19,N
123416945,job_type= DM and units_init > 19,N
220667829,job_type= DM and units_init > 19,C
120328476,top 10 units_prop Alteration,N
121109576,top 10 units_prop Alteration,
321186587,top 20 units_net A1,N
123154237,job_type= DM and units_init > 19,N
123557463,top 10 units_prop Alteration,
121184538,job_type= A1 and units_net < -50,
123766594,job_type= DM and units_init > 19,
121816080,unit_change_2018 is negative,N
120932465,job_type= A1 and units_net < -50,
103818950,job_type= A1 and units_net < -50,
123375631,job_type= A1 and units_net < -50,
122753074,unit_change_2018 is negative,N
520326585,unit_change_2018 is negative,N
120710917,job_type= A1 and units_net < -50,
120451082,job_type= A1 and units_net < -50,
320624767,unit_change_2018 is negative,N
104739829,job_type= A1 and units_net < -50,
123751190,job_type= DM and units_init > 19,
321930979,job_type= A1 and units_net < -50,
321952099,job_type= DM and units_init > 19,
121972106,job_type= A1 and units_net < -50,
123835476,job_description contains both %RESID% AND %HOTEL%,
122977172,job_description contains both %RESID% AND %HOTEL%,
121185029,job_type= A1 and units_net < -50,
421022164,top 10 units_prop Alteration,
421593957,unit_change_2018 is negative,N
321587939,unit_change_2018 is negative,N
220611504,top 10 units_prop Alteration,
120951318,job_type= A1 and units_net < -50,
321952080,job_type= DM and units_init > 19,
121184672,job_type= A1 and units_net < -50,
520326763,unit_change_2018 is negative,N
120447524,unit_change_2018 is negative,N
421550315,unit_change_2018 is negative,N
421593001,unit_change_2018 is negative,N
123557463,top 10 units_prop Alteration,
123766594,job_type= DM and units_init > 19,
321647018,unit_change_2018 is negative,N
123751190,job_type= DM and units_init > 19,
421557540,unit_change_2018 is negative,N
123835476,job_description contains both %RESID% AND %HOTEL%,
421022164,top 10 units_prop Alteration,
321621606,unit_change_2018 is negative,N
220611504,top 10 units_prop Alteration,
520329136,unit_change_2018 is negative,N
320865649,unit_change_2018 is negative,N
122850628,unit_change_2018 is negative,N
302003711,top 10 units_prop A1,N
200780262,job_type= DM and units_init > 19,N
421537117,unit_change_2018 is negative,N
321750949,unit_change_2018 is negative,N
321694412,unit_change_2018 is negative,N
103319491,unit_change_2018 is negative,N
421387243,unit_change_2018 is negative,N
520319405,unit_change_2018 is negative,N
321626763,unit_change_2018 is negative,N
421589766,unit_change_2018 is negative,N
321102025,top 10 units_prop A1,N
321475658,unit_change_2018 is negative,N
421585172,unit_change_2018 is negative,N
120873206,unit_change_2018 is negative,N
321525159,unit_change_2018 is negative,N
321528619,unit_change_2018 is negative,N
320516884,top 20 units_net A1,N
220632019,unit_change_2018 is negative,N
123557463,top 10 units_prop Alteration,
123766594,job_type= DM and units_init > 19,
123751190,job_type= DM and units_init > 19,
123835476,job_description contains both %RESID% AND %HOTEL%,
421022164,top 10 units_prop Alteration,
220611504,top 10 units_prop Alteration,
520325746,unit_change_2018 is negative,N
321535255,unit_change_2018 is negative,N
520324284,unit_change_2018 is negative,N
421578769,unit_change_2018 is negative,N
520320439,unit_change_2018 is negative,N
321694332,unit_change_2018 is negative,N
500911294,job_type= DM and units_init > 19,N
520323659,unit_change_2018 is negative,N
321475667,unit_change_2018 is negative,N
122401971,unit_change_2018 is negative,N
103154612,top 10 units_prop A1,N
420650664,unit_change_2018 is negative,N
520318530,unit_change_2018 is negative,N
121588969,job_description contains both %RESID% AND %HOTEL%,N
321505670,unit_change_2018 is negative,N
104578878,job_description contains both %RESID% AND %HOTEL%,N
321701814,unit_change_2018 is negative,N
321655650,unit_change_2018 is negative,N
103143527,unit_change_2018 is negative,N
122109734,unit_change_2018 is negative,N
520143719,unit_change_2018 is negative,N
121186171,unit_change_2018 is negative,N
123012587,unit_change_2018 is negative,N
421412153,unit_change_2018 is negative,N
421583094,unit_change_2018 is negative,N
120481246,unit_change_2018 is negative,N
520324355,unit_change_2018 is negative,N
302085295,job_type= DM and units_init > 19,N
321455322,unit_change_2018 is negative,N
520318166,unit_change_2018 is negative,N
122168206,unit_change_2018 is negative,N
121532252,job_description contains both %RESID% AND %HOTEL%,N
520330874,unit_change_2018 is negative,N
321498107,unit_change_2018 is negative,N
321697623,unit_change_2018 is negative,N
421580809,unit_change_2018 is negative,N
104402941,job_type= DM and units_init > 19,N
110474914,job_type= DM and units_init > 19,N
102812912,unit_change_2018 is negative,N
110278468,top 20 units_net A1,N
321727342,unit_change_2018 is negative,N
321629056,unit_change_2018 is negative,N
123083796,unit_change_2018 is negative,N
520317540,unit_change_2018 is negative,N
120986077,job_type= A1 and units_net < -50,N
120085950,job_type= A1 and units_net < -50,N
520336262,unit_change_2018 is negative,N
520307374,unit_change_2018 is negative,N
321515295,unit_change_2018 is negative,N
421548613,unit_change_2018 is negative,N
421616120,unit_change_2018 is negative,N
520318040,unit_change_2018 is negative,N
122239871,unit_change_2018 is negative,N
321353851,unit_change_2018 is negative,N
321716808,unit_change_2018 is negative,N
321244382,unit_change_2018 is negative,N
302085259,job_type= DM and units_init > 19,N
321505661,unit_change_2018 is negative,N
320506092,top 20 units_net A1,N
421605819,unit_change_2018 is negative,N
321676977,unit_change_2018 is negative,N
321727333,unit_change_2018 is negative,N
421569626,unit_change_2018 is negative,N
121868513,job_description contains both %RESID% AND %HOTEL%,N
421589515,unit_change_2018 is negative,N
421513268,unit_change_2018 is negative,N
421579296,unit_change_2018 is negative,N
520328967,unit_change_2018 is negative,N
421523934,unit_change_2018 is negative,N
122822062,unit_change_2018 is negative,N
321546305,unit_change_2018 is negative,N
421566068,unit_change_2018 is negative,N
421582834,unit_change_2018 is negative,N
421559904,unit_change_2018 is negative,N
420605296,top 20 units_net A1,N
120869596,job_type= DM and units_init > 19,N
321783469,unit_change_2018 is negative,N
321627218,unit_change_2018 is negative,N
321656310,job_type= A1 and units_net < -50,N
321506713,unit_change_2018 is negative,N
103236954,job_description contains both %RESID% AND %HOTEL%,N
421378896,unit_change_2018 is negative,N
301228525,job_type= DM and units_init > 19,N
321695135,unit_change_2018 is negative,N
421575496,unit_change_2018 is negative,N
220014400,job_type= A1 and units_net < -50,N
520313795,unit_change_2018 is negative,N
321697534,unit_change_2018 is negative,N
220588718,unit_change_2018 is negative,N
120715501,unit_change_2018 is negative,N
420951713,unit_change_2018 is negative,N
123389403,unit_change_2018 is negative,N
320624080,unit_change_2018 is negative,N
321316143,unit_change_2018 is negative,N
421588222,unit_change_2018 is negative,N
520323089,unit_change_2018 is negative,N
320949417,unit_change_2018 is negative,N
421525193,unit_change_2018 is negative,N
421592958,unit_change_2018 is negative,N
321697428,unit_change_2018 is negative,N
421587134,unit_change_2018 is negative,N
301505789,job_type= DM and units_init > 19,N
420288959,top 20 units_net A1,N
321436451,unit_change_2018 is negative,N
421582825,unit_change_2018 is negative,N
321701805,unit_change_2018 is negative,N
104413403,job_description contains both %RESID% AND %HOTEL%,N
321677280,unit_change_2018 is negative,N
110416210,unit_change_2018 is negative,N
301623474,job_type= DM and units_init > 19,N
302066993,job_type= DM and units_init > 19,N
302253406,job_type= DM and units_init > 19,N
321786670,unit_change_2018 is negative,N
220600981,unit_change_2018 is negative,N
104813720,job_description contains both %RESID% AND %HOTEL%,N
321626745,unit_change_2018 is negative,N
520315329,unit_change_2018 is negative,N
520322017,unit_change_2018 is negative,N
520331775,unit_change_2018 is negative,N
321424589,unit_change_2018 is negative,N
321628164,unit_change_2018 is negative,N
104608195,unit_change_2018 is negative,N
121394295,job_description contains both %RESID% AND %HOTEL%,N
520323711,unit_change_2018 is negative,N
104813711,job_description contains both %RESID% AND %HOTEL%,N
321703796,unit_change_2018 is negative,N
421587232,unit_change_2018 is negative,N
321785314,unit_change_2018 is negative,N
321187023,unit_change_2018 is negative,N
321688982,unit_change_2018 is negative,N
123294924,unit_change_2018 is negative,N
104112728,job_type= DM and units_init > 19,N
321692110,unit_change_2018 is negative,N
421548677,unit_change_2018 is negative,N
121324717,unit_change_2018 is negative,N
320783194,unit_change_2018 is negative,N
321697366,unit_change_2018 is negative,N
520324444,unit_change_2018 is negative,N
520318497,unit_change_2018 is negative,N
220650043,unit_change_2018 is negative,N
520327824,unit_change_2018 is negative,N
421481042,unit_change_2018 is negative,N
421544314,unit_change_2018 is negative,N
104278130,job_description contains both %RESID% AND %HOTEL%,N
220607074,unit_change_2018 is negative,N
520164893,unit_change_2018 is negative,N
104930461,job_type= A1 and units_net < -50,N
301649973,unit_change_2018 is negative,N
421518968,unit_change_2018 is negative,N
520312741,unit_change_2018 is negative,N
520320475,unit_change_2018 is negative,N
321362538,unit_change_2018 is negative,N
301568239,job_type= DM and units_init > 19,N
421488508,unit_change_2018 is negative,N
421567628,unit_change_2018 is negative,N
220626972,unit_change_2018 is negative,N
421630328,unit_change_2018 is negative,N
121830439,unit_change_2018 is negative,N
421548472,unit_change_2018 is negative,N
220575900,unit_change_2018 is negative,N
321411879,unit_change_2018 is negative,N
421560867,unit_change_2018 is negative,N
121369429,job_type= DM and units_init > 19,N
122363539,unit_change_2018 is negative,N
321521402,unit_change_2018 is negative,N
421594206,unit_change_2018 is negative,N
122043500,unit_change_2018 is negative,N
520330160,unit_change_2018 is negative,N
310123773,unit_change_2018 is negative,N
321638082,unit_change_2018 is negative,N
421592985,unit_change_2018 is negative,N
520330883,unit_change_2018 is negative,N
421341220,unit_change_2018 is negative,N
421465159,unit_change_2018 is negative,N
110017151,unit_change_2018 is negative,N
321704937,unit_change_2018 is negative,N
421521856,unit_change_2018 is negative,N
104934083,job_type= DM and units_init > 19,N
220580388,unit_change_2018 is negative,N
220627800,unit_change_2018 is negative,N
421548659,unit_change_2018 is negative,N
320205309,unit_change_2018 is negative,N
321795205,unit_change_2018 is negative,N
421575450,unit_change_2018 is negative,N
220602541,unit_change_2018 is negative,N
220614084,unit_change_2018 is negative,N
321562439,unit_change_2018 is negative,N
421581611,unit_change_2018 is negative,N
520319441,unit_change_2018 is negative,N
123051179,unit_change_2018 is negative,N
421581835,unit_change_2018 is negative,N
120392173,unit_change_2018 is negative,N
123111248,unit_change_2018 is negative,N
321008440,unit_change_2018 is negative,N
421590497,unit_change_2018 is negative,N
210033747,unit_change_2018 is negative,N
122349404,unit_change_2018 is negative,N
321560663,unit_change_2018 is negative,N
520276479,unit_change_2018 is negative,N
102999980,job_description contains both %RESID% AND %HOTEL%,N
200766821,job_description contains both %RESID% AND %HOTEL%,N
121184556,unit_change_2018 is negative,N
321697419,unit_change_2018 is negative,N
421560992,unit_change_2018 is negative,N
321614044,unit_change_2018 is negative,N
