job_number,flag,outlier
104112728,,N
220014400,,N
302320904,,N
302297002,,N
103236954,,N
302079738,,N
200766527,,N
321656310,,N
301623474,,N
302253406,,N
302066993,,N
301505789,,N
302015913,,N
110368726,,N
103507466,,N
302008565,,N
121868513,,N
122668700,,N
120773804,,N
120085950,,N
301568239,,N
120986077,,N
120841928,,N
120156311,,N
121532252,,N
104934083,,N
410111230,,N
102280586,,N
104578878,,N
110143924,,N
121588969,,N
104937678,,N
302386095,,N
121325869,,N
121369429,,N
110285334,,N
302085277,,N
201110939,,N
104934074,,N
302229693,,N
200776446,,N
110278468,,N
104296218,,N
102828585,,N
401101151,,N
104616122,,N
200800311,,N
401094604,,N
302085302,,N
320576925,,N
102780545,,N
120621354,,N
102926915,,N
200780262,,N
110125962,,N
302344443,,N
102999980,,N
120926070,,N
200766821,,N
301963276,,N
420605296,,N
321690103,unit_change_2018 is negative,N
321615472,unit_change_2018 is negative,N
321697525,unit_change_2018 is negative,N
421583058,unit_change_2018 is negative,N
321573472,unit_change_2018 is negative,N
321797711,unit_change_2018 is negative,N
421548301,unit_change_2018 is negative,N
122934726,unit_change_2018 is negative,N
421479572,unit_change_2018 is negative,N
321118045,unit_change_2018 is negative,N
121854323,job_type= A1 and units_net < -50,N
122948640,job_type= A1 and units_net < -50,N
302297002,job_type= DM and units_init > 19,N
421575343,unit_change_2018 is negative,N
520302930,unit_change_2018 is negative,N
302079738,job_type= DM and units_init > 19,N
320858817,unit_change_2018 is negative,N
122470815,unit_change_2018 is negative,N
321697437,unit_change_2018 is negative,N
520323025,unit_change_2018 is negative,N
520323622,unit_change_2018 is negative,N
121588433,unit_change_2018 is negative,N
321562858,unit_change_2018 is negative,N
321724595,unit_change_2018 is negative,N
321322680,unit_change_2018 is negative,N
321676968,unit_change_2018 is negative,N
421604972,unit_change_2018 is negative,N
320573633,unit_change_2018 is negative,N
520296769,unit_change_2018 is negative,N
121636792,unit_change_2018 is negative,N
122135215,unit_change_2018 is negative,N
